"Customer.ID","Gender","Age","Married","Number.of.Dependents","City","Zip.Code","Number.of.Referrals","Tenure.in.Months","Offer","Phone.Service","Avg.Monthly.Long.Distance.Charges","Multiple.Lines","Internet.Service","Internet.Type","Avg.Monthly.GB.Download","Online.Security","Online.Backup","Device.Protection.Plan","Premium.Tech.Support","Streaming.TV","Streaming.Movies","Streaming.Music","Unlimited.Data","Contract","Paperless.Billing","Payment.Method","Monthly.Charge","Total.Charges","Total.Refunds","Total.Extra.Data.Charges","Total.Long.Distance.Charges","Total.Revenue","Customer.Status","Churn.Category","Churn.Reason","Tenure_Category","Age_Category","Service_Category"
"0002-ORFBO","Female",37,"Yes",0,"Frazier Park",93225,2,9,"None","Yes",42.39,"No","Yes","Cable",16,"No","Yes","No","Yes","Yes","No","No","Yes","One Year","Yes","Credit Card",65.6,593.3,0,0,381.51,974.81,"Stayed","","","Junior","Adulto","Services with Improvements"
"0003-MKNFE","Male",46,"No",0,"Glendale",91206,0,9,"None","Yes",10.69,"Yes","Yes","Cable",10,"No","No","No","No","No","Yes","Yes","No","Month-to-Month","No","Credit Card",-4,542.4,38.33,10,96.21,610.28,"Stayed","","","Junior","Adulto",NA
"0004-TLHLJ","Male",50,"No",0,"Costa Mesa",92627,0,4,"Offer E","Yes",33.65,"No","Yes","Fiber Optic",30,"No","No","Yes","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",73.9,280.85,0,0,134.6,415.45,"Churned","Competitor","Competitor had better devices","Junior","Adulto","Services with Improvements"
"0011-IGKFF","Male",78,"Yes",0,"Martinez",94553,1,13,"Offer D","Yes",27.82,"No","Yes","Fiber Optic",4,"No","Yes","Yes","No","Yes","Yes","No","Yes","Month-to-Month","Yes","Bank Withdrawal",98,1237.85,0,0,361.66,1599.51,"Churned","Dissatisfaction","Product dissatisfaction","Junior","Anciano","All Included"
"0013-EXCHZ","Female",75,"Yes",0,"Camarillo",93010,3,3,"None","Yes",7.38,"No","Yes","Fiber Optic",11,"No","No","No","Yes","Yes","No","No","Yes","Month-to-Month","Yes","Credit Card",83.9,267.4,0,0,22.14,289.54,"Churned","Dissatisfaction","Network reliability","Junior","Anciano","Enhanced Services"
"0013-MHZWF","Female",23,"No",3,"Midpines",95345,0,9,"Offer E","Yes",16.77,"No","Yes","Cable",73,"No","No","No","Yes","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Credit Card",69.4,571.45,0,0,150.93,722.38,"Stayed","","","Junior","Joven","Services with Improvements"
"0013-SMEOE","Female",67,"Yes",0,"Lompoc",93437,1,71,"Offer A","Yes",9.96,"No","Yes","Fiber Optic",14,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal",109.7,7904.25,0,0,707.16,8611.41,"Stayed","","","Junior","Anciano","All Included"
"0014-BMAQU","Male",52,"Yes",0,"Napa",94558,8,63,"Offer B","Yes",12.96,"Yes","Yes","Fiber Optic",7,"Yes","No","No","Yes","No","No","No","No","Two Year","Yes","Credit Card",84.65,5377.8,0,20,816.48,6214.28,"Stayed","","","Junior","Adulto","Enhanced Services"
"0015-UOCOJ","Female",68,"No",0,"Simi Valley",93063,0,7,"Offer E","Yes",10.53,"No","Yes","DSL",21,"Yes","No","No","No","No","No","No","Yes","Two Year","Yes","Bank Withdrawal",48.2,340.35,0,0,73.71,414.06,"Stayed","","","Junior","Anciano","Minimum Services"
"0016-QLJIS","Female",43,"Yes",1,"Sheridan",95681,3,65,"None","Yes",28.46,"Yes","Yes","Cable",14,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Credit Card",90.45,5957.9,0,0,1849.9,7807.8,"Stayed","","","Junior","Adulto","Enhanced Services"
